date_registered,date_dropped,student_id,course_id,status,semester_id,update_ts
2014-08-18,0001-01-01,100016,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100016,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100033,1206,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100033,1107,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100033,1200,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100043,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100043,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100048,1274,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100048,1275,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100062,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100062,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100062,1193,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100063,1275,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100063,1281,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100063,1277,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100063,1289,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100093,1314,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100093,1321,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100096,1274,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100096,1281,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100096,1277,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100096,1289,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100101,1388,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100101,1389,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100101,1390,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100101,1402,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100101,1395,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100105,1248,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100105,1245,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100117,1314,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100117,1315,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100118,1389,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100118,1402,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100118,1395,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100118,1391,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100151,1193,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100166,1274,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100166,1281,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100166,1277,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100167,1274,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100167,1275,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100167,1289,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100167,1282,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100192,1314,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100192,1315,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100192,1193,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100196,1388,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100196,1389,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100196,1390,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100196,1402,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100197,1274,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100197,1281,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100197,1277,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100210,1242,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100210,1245,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100210,1258,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100224,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100224,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100225,1315,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100232,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100232,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100232,1395,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100241,1274,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100241,1289,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100241,1282,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100245,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100245,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100253,1274,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100253,1388,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100253,1275,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100253,1281,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100254,1092,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100254,1243,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100254,1277,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100262,1281,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100262,1277,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100262,1289,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100262,1282,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100263,1389,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100263,1390,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100263,1395,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100267,1389,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100267,1390,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100267,1395,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100267,1403,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100290,1388,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100290,1248,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100290,1390,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100290,1402,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100290,1395,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100299,1314,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100299,1315,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100299,1322,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100303,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100303,1275,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100303,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100323,1274,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100323,1275,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100323,1281,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100325,1388,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100325,1389,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100325,1094,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100325,1390,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100352,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100352,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100373,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100373,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100373,1094,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100379,1316,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100379,1329,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100379,1322,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100392,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100392,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100399,1388,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100399,1389,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100402,1274,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100434,1388,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100434,1389,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100434,1402,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100434,1395,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100436,1328,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100436,1321,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100449,1388,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100449,1389,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100449,1390,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100449,1402,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100449,1395,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100478,1274,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100478,1281,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100488,1388,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100488,1389,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100488,1390,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100490,1242,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100490,1099,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100490,1245,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100490,1250,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100490,1096,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100502,1389,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100502,1390,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100502,1391,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100522,1315,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100522,1323,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100540,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100540,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100552,1242,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100552,1093,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100552,1243,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100555,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100576,1192,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100576,1256,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100596,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100596,1192,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100596,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100596,1281,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100599,1275,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100619,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100619,1091,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100619,1208,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100627,1388,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100627,1389,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100627,1390,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100627,1402,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100642,1090,completed,29,2021-06-15 01:13:20.594890
2014-08-18,0001-01-01,100642,1091,completed,29,2021-06-15 01:13:20.594890
