student_id,course_id,semester_id,score,letter_grade
100016,1090,29,+9.9250000000000000e+01,A+
100016,1091,29,+9.8125000000000000e+01,A+
100033,1206,29,+9.1281250000000000e+01,A-
100033,1107,29,+8.8312500000000000e+01,B+
100033,1200,29,+8.3531250000000000e+01,B
100043,1090,29,+8.7406250000000000e+01,B+
100043,1091,29,+8.6000000000000000e+01,B
100048,1274,29,+8.9187500000000000e+01,B+
100048,1275,29,+8.6937500000000000e+01,B
100062,1090,29,+9.1625000000000000e+01,A-
100062,1091,29,+9.2000000000000000e+01,A-
100062,1193,29,+9.3468750000000000e+01,A
100063,1275,29,+8.0093750000000000e+01,B-
100063,1281,29,+8.0468750000000000e+01,B-
100063,1277,29,+8.3125000000000000e+01,B
100063,1289,29,+8.1312500000000000e+01,B-
100093,1314,29,+9.3312500000000000e+01,A
100093,1321,29,+9.7562500000000000e+01,A+
100096,1274,29,+8.5312500000000000e+01,B
100096,1281,29,+9.5000000000000000e+01,A
100096,1277,29,+8.9656250000000000e+01,B+
100096,1289,29,+9.1093750000000000e+01,A-
100101,1388,29,+9.1281250000000000e+01,A-
100101,1389,29,+8.7375000000000000e+01,B+
100101,1390,29,+8.2375000000000000e+01,B-
100101,1402,29,+8.9656250000000000e+01,B+
100101,1395,29,+8.7312500000000000e+01,B+
100105,1248,29,+8.2687500000000000e+01,B-
100105,1245,29,+7.4875000000000000e+01,C
100117,1314,29,+8.7218750000000000e+01,B+
100117,1315,29,+8.9812500000000000e+01,B+
100118,1389,29,+9.0656250000000000e+01,A-
100118,1402,29,+9.0906250000000000e+01,A-
100118,1395,29,+9.1312500000000000e+01,A-
100118,1391,29,+9.0500000000000000e+01,A-
100151,1193,29,+9.2250000000000000e+01,A-
100166,1274,29,+8.6281250000000000e+01,B
100166,1281,29,+8.9375000000000000e+01,B+
100166,1277,29,+8.7375000000000000e+01,B+
100167,1274,29,+8.5875000000000000e+01,B
100167,1275,29,+8.6562500000000000e+01,B
100167,1289,29,+8.8562500000000000e+01,B+
100167,1282,29,+9.0500000000000000e+01,A-
100192,1314,29,+9.2093750000000000e+01,A-
100192,1315,29,+8.4281250000000000e+01,B
100192,1193,29,+8.2375000000000000e+01,B-
100196,1388,29,+8.0718750000000000e+01,B-
100196,1389,29,+8.3937500000000000e+01,B
100196,1390,29,+8.1031250000000000e+01,B-
100196,1402,29,+7.9156250000000000e+01,C+
100197,1274,29,+7.9250000000000000e+01,C+
100197,1281,29,+8.5312500000000000e+01,B
100197,1277,29,+8.1625000000000000e+01,B-
100210,1242,29,+9.2906250000000000e+01,A-
100210,1245,29,+9.6781250000000000e+01,A
100210,1258,29,+9.2968750000000000e+01,A-
100224,1090,29,+8.1406250000000000e+01,B-
100224,1091,29,+8.4375000000000000e+01,B
100225,1315,29,+9.2843750000000000e+01,A-
100232,1090,29,+8.1281250000000000e+01,B-
100232,1091,29,+8.1875000000000000e+01,B-
100232,1395,29,+8.4968750000000000e+01,B
100241,1274,29,+5.5781250000000000e+01,F
100241,1289,29,+5.8125000000000000e+01,F
100241,1282,29,+6.0093750000000000e+01,D
100245,1090,29,+8.9968750000000000e+01,B+
100245,1091,29,+8.7968750000000000e+01,B+
100253,1274,29,+8.8906250000000000e+01,B+
100253,1388,29,+8.7781250000000000e+01,B+
100253,1275,29,+8.3718750000000000e+01,B
100253,1281,29,+9.1312500000000000e+01,A-
100254,1092,29,+9.0187500000000000e+01,A-
100254,1243,29,+8.4312500000000000e+01,B
100254,1277,29,+8.9406250000000000e+01,B+
100262,1281,29,+8.4281250000000000e+01,B
100262,1277,29,+8.4781250000000000e+01,B
100262,1289,29,+7.9343750000000000e+01,C+
100262,1282,29,+8.3000000000000000e+01,B
100263,1389,29,+8.4343750000000000e+01,B
100263,1390,29,+8.4250000000000000e+01,B
100263,1395,29,+8.8843750000000000e+01,B+
100267,1389,29,+9.8687500000000000e+01,A+
100267,1390,29,+1.0034375000000000e+02,A+
100267,1395,29,+9.5718750000000000e+01,A
100267,1403,29,+9.8250000000000000e+01,A+
100290,1388,29,+8.4875000000000000e+01,B
100290,1248,29,+7.8750000000000000e+01,C+
100290,1390,29,+8.1687500000000000e+01,B-
100290,1402,29,+8.5125000000000000e+01,B
100290,1395,29,+8.5187500000000000e+01,B
100299,1314,29,+8.7593750000000000e+01,B+
100299,1315,29,+8.4968750000000000e+01,B
100299,1322,29,+9.1125000000000000e+01,A-
100303,1090,29,+8.2531250000000000e+01,B-
100303,1275,29,+8.1406250000000000e+01,B-
100303,1091,29,+8.4343750000000000e+01,B
100323,1274,29,+9.7906250000000000e+01,A+
100323,1275,29,+9.3531250000000000e+01,A
100323,1281,29,+1.0037500000000000e+02,A+
100325,1388,29,+8.3781250000000000e+01,B
100325,1389,29,+8.9843750000000000e+01,B+
100325,1094,29,+9.1812500000000000e+01,A-
100325,1390,29,+8.8250000000000000e+01,B+
