course_id,course_name,course_level,course_code,school_id,department_id
1090,Aircraft Systems Engineering,100,AERO-0100,2,25
1091,Space Flight Mechanics,200,AERO-0200,2,25
1092,Advanced Algorithms,100,COMP-0100,2,26
1242,Programming for Designers,130,COMP-15100,2,26
1192,Introduction to Computing for Non-Majors,140,COMP-10100,2,26
1093,Advanced Data Structures,200,COMP-0200,2,26
1243,Python,230,COMP-15200,2,26
1193,Introduction to Computing,240,COMP-10200,2,26
1248,Python Data Visualization,280,COMP-15700,2,26
1094,Advanced Operating Systems Structures and Implementation,300,COMP-0300,2,26
1194,Introduction to Cybersecurity,340,COMP-10300,2,26
1099,Algorithmic Lower Bounds: Fun with Hardness Proofs,350,COMP-0800,2,26
1256,Software Engineering: Introduction,365,COMP-16500,2,26
1206,Introduction to Python: Absolute Beginner,375,COMP-11500,2,26
1249,Python Programming Essentials,380,COMP-15800,2,26
1199,Introduction to Embedded Systems,390,COMP-10800,2,26
1095,Algorithms Part I,400,COMP-0400,2,26
1245,Python for Data Science and AI,430,COMP-15400,2,26
1107,Free Course in Multiple formats,435,COMP-1600,2,26
1207,Introduction to Python: Fundamentals,475,COMP-11600,2,26
1250,Quantum Computing for the Determined,480,COMP-15900,2,26
1200,Introduction to Formal Systems & Computation,490,COMP-10900,2,26
1096,Algorithms Part II,500,COMP-0500,2,26
1246,Python Data Analysis,530,COMP-15500,2,26
1196,Introduction to Cybersecurity Tools & Cyber Attacks,540,COMP-10500,2,26
1101,Android Development,550,COMP-1000,2,26
1258,TCP/IP,565,COMP-16700,2,26
1208,Introduction to TensorFlow for Artificial Intelligence Machine Learning and Deep Learning,575,COMP-11700,2,26
1251,Ray Tracing for Global Illumination,580,COMP-16000,2,26
1201,Introduction to Information Studies,590,COMP-11000,2,26
1097,Algorithm Design and Analysis,600,COMP-0600,2,26
1247,Python Data Representations,630,COMP-15600,2,26
1197,Introduction to Electrical Engineering and Computer Science I,640,COMP-10600,2,26
1102,AI for Everyone,650,COMP-1100,2,26
1259,Technical Support Fundamentals,665,COMP-16800,2,26
1252,Responsible Computing,680,COMP-16100,2,26
1202,Introduction to iPhone Application Development,690,COMP-11100,2,26
1098,Algorithms for Big Data,700,COMP-0700,2,26
1103,Applied AI with DeepLearning,750,COMP-1200,2,26
1260,The Beauty and Joy of Computing,765,COMP-16900,2,26
1210,iPhone Application Development in iOS5 (Fall 2011),775,COMP-11900,2,26
1253,Search Engines: Technology Society and Business,780,COMP-16200,2,26
1203,Introduction to Linux,790,COMP-11200,2,26
1104,Artificial Intelligence,850,COMP-1300,2,26
1261,The Bits and Bytes of Computer Networking,865,COMP-17000,2,26
1211,IT Security: Defense against the digital dark arts,875,COMP-12000,2,26
1254,Signal Processing on Databases,880,COMP-16300,2,26
1204,Introduction to Problem Solving & Programming,890,COMP-11300,2,26
1112,Basic Concepts of Operating Systems & System Programming,935,COMP-2100,2,26
1262,The Future of the Internet,965,COMP-17100,2,26
1212,Linux Implementation/Administration Practicum,975,COMP-12100,2,26
1255,Software as a Service,980,COMP-16400,2,26
1205,An Introduction to Practical Deep Learning,990,COMP-11400,2,26
1113,Bitcoin and Cryptocurrency Technologies,1035,COMP-2200,2,26
1263,The Society of Mind,1065,COMP-17200,2,26
1213,Learning from Data: A Machine Learning Course,1075,COMP-12200,2,26
1214,Local Area Network,1175,COMP-12300,2,26
1115,Bits: The Computer Science of Digital Information,1235,COMP-2400,2,26
1265,The Structure and Interpretation of Computer Programs,1265,COMP-17400,2,26
1215,Logic & Proofs,1275,COMP-12400,2,26
1116,Blender 3D Design,1335,COMP-2500,2,26
1266,Theory of Computation,1365,COMP-17500,2,26
1216,Machine Learning,1375,COMP-12500,2,26
1117,Building Dynamic Web Sites,1435,COMP-2600,2,26
1267,Understanding Computers and the Internet,1465,COMP-17600,2,26
1118,Building Mobile Applications,1535,COMP-2700,2,26
1268,Using Python to Access Web Data,1565,COMP-17700,2,26
1119,Calling Bullshit in the Age of Big Data,1635,COMP-2800,2,26
1269,Virtual Reality,1665,COMP-17800,2,26
1219,Machine Learning Crash Course,1675,COMP-12800,2,26
1120,C Programming: Getting Started,1735,COMP-2900,2,26
1270,Visual Navigation for Flying Robots,1765,COMP-17900,2,26
1220,Machine Learning with Python: A Practical Introduction,1775,COMP-12900,2,26
1121,Codecademy,1835,COMP-3000,2,26
1271,Wide Area Networks,1865,COMP-18000,2,26
1221,Machine Structures,1875,COMP-13000,2,26
1122,Coding Together: Apps for iPhone and iPad (2013),1935,COMP-3100,2,26
1272,Wireless Networking,1965,COMP-18100,2,26
1222,Massively Parallel Computing,1975,COMP-13100,2,26
1123,Computational Camera and Photography,2035,COMP-3200,2,26
