course_id,semester_id,staff_id,lecture_days,lecture_start_hour,lecture_duration,lab_days,lab_start_hour,lab_duration
1090,29,5313,0101010,8,75,0000010,10,90
1091,29,5313,0101010,8,75,0000010,10,90
1092,29,5347,0010100,8,75,0000010,10,90
1242,29,5316,0010100,8,75,0000010,10,90
1192,29,5358,0101010,8,75,0000010,10,90
1093,29,5352,0101010,8,75,0000010,10,90
1243,29,5332,0101010,8,75,0000010,10,90
1193,29,5317,0010100,8,75,0000010,10,90
1248,29,5352,0010100,8,75,0000010,10,90
1094,29,5352,0101010,8,75,0000010,10,90
1194,29,5363,0010100,8,75,0000010,10,90
1099,29,5344,0101010,8,75,0000010,10,90
1256,29,5358,0101010,8,75,0000010,10,90
1206,29,5329,0010100,8,75,0000010,10,90
1249,29,5349,0010100,8,75,0000010,10,90
1199,29,5357,0101010,8,75,0000010,10,90
1095,29,5347,0010100,8,75,0000010,10,90
1245,29,5364,0101010,8,75,0000010,10,90
1107,29,5328,0010100,8,75,0000010,10,90
1207,29,5339,0101010,8,75,0000010,10,90
1250,29,5344,0101010,8,75,0000010,10,90
1200,29,5314,0101010,8,75,0000010,10,90
1096,29,5327,0101010,8,75,0000010,10,90
1246,29,5333,0101010,8,75,0000010,10,90
1196,29,5347,0010100,8,75,0000010,10,90
1101,29,5352,0010100,8,75,0000010,10,90
1258,29,5341,0101010,8,75,0000010,10,90
1208,29,5346,0010100,8,75,0000010,10,90
1251,29,5363,0010100,8,75,0000010,10,90
1201,29,5315,0010100,8,75,0000010,10,90
1097,29,5339,0010100,8,75,0000010,10,90
1247,29,5360,0010100,8,75,0000010,10,90
1197,29,5343,0010100,8,75,0000010,10,90
1102,29,5352,0010100,8,75,0000010,10,90
1259,29,5348,0101010,8,75,0000010,10,90
1252,29,5337,0010100,8,75,0000010,10,90
1202,29,5354,0101010,8,75,0000010,10,90
1098,29,5336,0010100,8,75,0000010,10,90
1103,29,5326,0101010,8,75,0000010,10,90
1260,29,5352,0010100,8,75,0000010,10,90
1210,29,5343,0101010,8,75,0000010,10,90
1253,29,5356,0010100,8,75,0000010,10,90
1203,29,5321,0010100,8,75,0000010,10,90
1104,29,5361,0010100,8,75,0000010,10,90
1261,29,5338,0010100,8,75,0000010,10,90
1211,29,5331,0101010,8,75,0000010,10,90
1254,29,5364,0101010,8,75,0000010,10,90
1204,29,5318,0010100,8,75,0000010,10,90
1112,29,5358,0101010,8,75,0000010,10,90
1262,29,5344,0101010,8,75,0000010,10,90
1212,29,5332,0010100,8,75,0000010,10,90
1255,29,5319,0010100,8,75,0000010,10,90
1205,29,5346,0101010,8,75,0000010,10,90
1113,29,5324,0010100,8,75,0000010,10,90
1263,29,5318,0010100,8,75,0000010,10,90
1213,29,5335,0010100,8,75,0000010,10,90
1214,29,5314,0101010,8,75,0000010,10,90
1115,29,5348,0010100,8,75,0000010,10,90
1265,29,5362,0010100,8,75,0000010,10,90
1215,29,5355,0101010,8,75,0000010,10,90
1116,29,5340,0010100,8,75,0000010,10,90
1266,29,5361,0010100,8,75,0000010,10,90
1216,29,5325,0101010,8,75,0000010,10,90
1117,29,5342,0101010,8,75,0000010,10,90
1267,29,5319,0101010,8,75,0000010,10,90
1118,29,5340,0101010,8,75,0000010,10,90
1268,29,5356,0010100,8,75,0000010,10,90
1119,29,5357,0010100,8,75,0000010,10,90
1269,29,5315,0010100,8,75,0000010,10,90
1219,29,5330,0010100,8,75,0000010,10,90
1120,29,5365,0101010,8,75,0000010,10,90
1270,29,5316,0010100,8,75,0000010,10,90
1220,29,5344,0101010,8,75,0000010,10,90
1121,29,5336,0101010,8,75,0000010,10,90
1271,29,5321,0101010,8,75,0000010,10,90
1221,29,5338,0101010,8,75,0000010,10,90
1122,29,5345,0101010,8,75,0000010,10,90
1272,29,5336,0010100,8,75,0000010,10,90
1222,29,5326,0101010,8,75,0000010,10,90
1123,29,5325,0101010,8,75,0000010,10,90
1273,29,5365,0010100,8,75,0000010,10,90
1223,29,5348,0101010,8,75,0000010,10,90
1124,29,5319,0101010,8,75,0000010,10,90
1224,29,5350,0010100,8,75,0000010,10,90
1125,29,5321,0010100,8,75,0000010,10,90
1225,29,5316,0010100,8,75,0000010,10,90
1126,29,5324,0010100,8,75,0000010,10,90
1226,29,5327,0101010,8,75,0000010,10,90
1227,29,5320,0101010,8,75,0000010,10,90
1128,29,5334,0010100,8,75,0000010,10,90
1228,29,5321,0010100,8,75,0000010,10,90
1129,29,5318,0010100,8,75,0000010,10,90
1229,29,5358,0101010,8,75,0000010,10,90
1130,29,5325,0101010,8,75,0000010,10,90
1230,29,5363,0010100,8,75,0000010,10,90
1131,29,5330,0101010,8,75,0000010,10,90
1231,29,5351,0010100,8,75,0000010,10,90
1132,29,5316,0010100,8,75,0000010,10,90
1232,29,5317,0010100,8,75,0000010,10,90
1133,29,5335,0010100,8,75,0000010,10,90
1233,29,5348,0101010,8,75,0000010,10,90
1134,29,5325,0010100,8,75,0000010,10,90
1135,29,5346,0101010,8,75,0000010,10,90
1235,29,5349,0010100,8,75,0000010,10,90
1136,29,5358,0010100,8,75,0000010,10,90
1236,29,5364,0101010,8,75,0000010,10,90
1137,29,5349,0010100,8,75,0000010,10,90
1237,29,5337,0010100,8,75,0000010,10,90
1138,29,5314,0010100,8,75,0000010,10,90
1238,29,5342,0010100,8,75,0000010,10,90
1139,29,5316,0101010,8,75,0000010,10,90
1239,29,5318,0101010,8,75,0000010,10,90
1140,29,5362,0010100,8,75,0000010,10,90
1240,29,5343,0101010,8,75,0000010,10,90
1141,29,5362,0101010,8,75,0000010,10,90
1241,29,5316,0010100,8,75,0000010,10,90
1142,29,5363,0010100,8,75,0000010,10,90
1143,29,5352,0010100,8,75,0000010,10,90
1145,29,5316,0101010,8,75,0000010,10,90
1147,29,5352,0010100,8,75,0000010,10,90
1148,29,5362,0010100,8,75,0000010,10,90
1150,29,5325,0010100,8,75,0000010,10,90
1151,29,5365,0010100,8,75,0000010,10,90
1152,29,5344,0101010,8,75,0000010,10,90
1153,29,5324,0010100,8,75,0000010,10,90
1154,29,5342,0101010,8,75,0000010,10,90
1155,29,5327,0101010,8,75,0000010,10,90
1156,29,5338,0010100,8,75,0000010,10,90
1157,29,5347,0010100,8,75,0000010,10,90
1159,29,5316,0010100,8,75,0000010,10,90
1161,29,5327,0010100,8,75,0000010,10,90
1162,29,5344,0010100,8,75,0000010,10,90
1163,29,5342,0101010,8,75,0000010,10,90
1164,29,5334,0010100,8,75,0000010,10,90
1165,29,5315,0010100,8,75,0000010,10,90
1166,29,5321,0010100,8,75,0000010,10,90
1167,29,5314,0101010,8,75,0000010,10,90
1168,29,5355,0101010,8,75,0000010,10,90
1169,29,5363,0101010,8,75,0000010,10,90
1170,29,5328,0010100,8,75,0000010,10,90
1171,29,5340,0101010,8,75,0000010,10,90
1172,29,5355,0010100,8,75,0000010,10,90
1174,29,5350,0101010,8,75,0000010,10,90
1175,29,5333,0101010,8,75,0000010,10,90
1176,29,5329,0010100,8,75,0000010,10,90
1177,29,5317,0101010,8,75,0000010,10,90
1179,29,5317,0010100,8,75,0000010,10,90
1180,29,5330,0101010,8,75,0000010,10,90
1181,29,5337,0010100,8,75,0000010,10,90
1182,29,5364,0010100,8,75,0000010,10,90
1183,29,5343,0010100,8,75,0000010,10,90
1185,29,5356,0101010,8,75,0000010,10,90
1187,29,5357,0010100,8,75,0000010,10,90
1189,29,5326,0101010,8,75,0000010,10,90
1190,29,5358,0101010,8,75,0000010,10,90
1191,29,5355,0010100,8,75,0000010,10,90
1274,29,5366,0101010,8,75,0000010,10,90
1275,29,5372,0101010,8,75,0000010,10,90
1281,29,5373,0010100,8,75,0000010,10,90
1277,29,5373,0010100,8,75,0000010,10,90
1289,29,5376,0101010,8,75,0000010,10,90
1282,29,5370,0101010,8,75,0000010,10,90
1290,29,5372,0010100,8,75,0000010,10,90
1283,29,5366,0010100,8,75,0000010,10,90
1279,29,5372,0101010,8,75,0000010,10,90
1291,29,5368,0010100,8,75,0000010,10,90
1284,29,5370,0101010,8,75,0000010,10,90
1280,29,5372,0010100,8,75,0000010,10,90
1292,29,5370,0101010,8,75,0000010,10,90
1285,29,5369,0101010,8,75,0000010,10,90
1293,29,5373,0010100,8,75,0000010,10,90
1286,29,5372,0101010,8,75,0000010,10,90
1294,29,5368,0010100,8,75,0000010,10,90
1287,29,5371,0101010,8,75,0000010,10,90
1295,29,5366,0010100,8,75,0000010,10,90
1296,29,5375,0101010,8,75,0000010,10,90
1297,29,5370,0101010,8,75,0000010,10,90
1299,29,5366,0101010,8,75,0000010,10,90
1300,29,5373,0010100,8,75,0000010,10,90
1301,29,5371,0101010,8,75,0000010,10,90
1302,29,5375,0101010,8,75,0000010,10,90
1304,29,5369,0101010,8,75,0000010,10,90
1305,29,5368,0101010,8,75,0000010,10,90
1306,29,5369,0101010,8,75,0000010,10,90
1307,29,5372,0010100,8,75,0000010,10,90
1309,29,5372,0101010,8,75,0000010,10,90
1310,29,5376,0010100,8,75,0000010,10,90
1311,29,5366,0010100,8,75,0000010,10,90
